"materias","nota","anio"
"capoeira","9.1","1"
"fundamentos imagen","7.5","1"
"intro. dibujo","7.3","1"
"grafica digital","8.4","1"
"historia del arte","7.6","1"
"comunicacion y lenguaje","5.6","1"
"fundamentos de la admin.","8.1","1"
"teoria mult. y audiovisual","7.7","1"
"historia del arte","6.8","1"
"dibujo naturista","5.7","1"
"grafica digital II","7.2","1"
"semiotica de la imagen","7.7","1"
"comun y lenguaje","6.9","1"
"logica y forma","4.7","1"
"intr. al cine","7.1","1"
"fotografia e iluminacion","5.4","1"
"","",""
